"DIFF","TOF","AGE","R7","R8","R17","R22","R32"
"1",2,49,0.478,0.1378,0.0333,0.562,0.1881
"0",1,44,0.254,0.1396,0.0965,0.2608,0.1766
"0",2,42,0.713,0.8797,0.0697,0.1388,0.1426
"1",5,32,0.454,0.7685,0.0954,2.444,0.4505
"0",2,47,0.103,0.5133,0.0695,0.5899,0.1433
"1",3,59,0.0695,0.1163,0.0202,0.699,0.342
"1",3,40,0.707,0.08361,0.0817,0.4788,0.3069
"0",2,59,1.541,0.1206,0.0605,0.9608,-0.0514
"0",1,43,0.512,0.7767,0.114,1.0766,0.1717
"1",1,37,0.271,0.07034,0.0286,0.2079,0.4816
"0",3,49,0.778,0.5808,0.0932,0.4772,0.1665
"0",3,42,0.125,0.3109,0.0629,0.4727,0.3227
"1",2,41,0.547,1.1139,0.0364,0.5032,0.2455
"0",3,46,1.417,0.1789,0.0501,2.3149,0.1086
"0",5,32,0.826,0.3652,0.0419,0.2176,0.02498
"0",2,58,0.276,0.6163,0.102,0.3629,0.1913
"0",1,54,2.557,0.1183,0.0513,0.8573,0.1093
"0",3,38,0.67,0.6144,0.109,0.1775,0.04989
"1",2,52,0.818,1.0682,0.0649,0.1469,0.4075
"1",2,33,0.218,0.771,0.046,0.5267,0.3308
"0",2,44,0.637,0.5866,0.0616,0.4565,0.1623
"1",3,42,1.077,0.04883,0.067,0.3656,0.364
"0",2,38,1.824,1.661,0.05,0.1193,-0.0365
"1",1,28,0.635,1.0894,0.0646,0.5654,0.249
"0",3,42,0.0824,0.9448,0.0856,0.4461,0.3402
"1",3,49,0.643,0.4251,0.0663,0.1016,0.3552
"1",3,48,0.175,0.3118,0.0601,2.2258,0.4505
"0",3,40,0.801,0.6542,0.0919,0.09821,0.1342
"1",2,59,0.2,0.2658,0.0203,1.0395,0.3293
"1",2,29,0.502,0.4115,0.0549,1.0019,0.2714
"0",3,40,0.528,0.5928,0.112,0.4453,0.2435
"1",3,42,0.864,0.1288,0.0526,0.7585,0.3306
"0",3,43,0.665,0.679,0.0726,1.4747,0.4059
"0",1,49,2.476,0.2492,0.0903,0.569,0.2787
"0",1,52,0.447,0.04883,0.0829,0.5136,0.3103
"1",2,42,0.477,0.09674,0.067,0.3947,0.2759
"0",3,50,0.388,0.22,0.0687,0.8046,0.19
"1",2,30,0.707,0.5651,0.0316,0.9114,0.3709
"1",1,39,0.677,0.1467,0.0384,0.5137,0.3357
"1",5,28,0.372,0.08673,0.067,0.1254,0.3431
"1",1,41,0.341,1.8494,0.103,0.4188,0.3542
"0",2,55,0.6,0.635,0.0529,4.8453,0.2957
"1",3,39,1.021,0.1923,0.0458,0.6398,0.2888
"0",5,41,0.508,0.3742,0.0672,0.5615,0.2766
"1",2,49,0.0695,0.1819,0.0387,0.1227,0.3626
"1",2,50,0.481,0.1046,0.032,0.5248,0.3153
"0",3,42,0.208,0.09553,0.0241,0.4842,0.08045
"1",2,50,0.33,0.04883,0.0334,0.09821,0.3276
"1",4,49,0.34,0.05356,0.0773,0.9392,0.1944
"1",1,58,0.0695,0.5628,0.0202,0.5611,0.2753
"1",5,56,0.101,1.8494,0.0532,0.2194,0.2803
"0",3,48,0.785,0.8797,0.114,0.09821,0.1946
"0",1,55,0.148,-0.824,0.0262,0.1193,0.3211
"0",5,41,0.719,0.1387,0.0695,1.1188,0.1846
"1",3,49,0.211,0.073,0.0365,0.1464,0.368
"1",2,36,0.513,0.06741,0.0374,0.518,0.4077
"0",2,46,0.36,0.08311,0.0383,2.0786,0.2214
"1",1,52,0.14,0.61,0.053,0.127,0.3244
"1",2,55,0.129,0.2835,0.0628,0.2298,0.325
"1",2,46,0.101,0.08603,0.042,1.0094,0.2493
"1",1,45,0.843,0.9594,0.0554,0.8982,0.3759
"1",2,60,0.924,0.9684,0.0832,1.0563,0.326
"1",1,35,0.371,0.2605,0.114,0.5256,0.3238
"1",3,37,0.284,0.107,0.0437,0.8975,0.4154
"0",1,40,0.467,0.2356,0.048,1.0386,0.2367
"0",2,58,0.269,0.09703,0.114,0.4069,0.05513
"0",3,30,0.371,0.2314,0.0812,0.3193,0.1241
"1",4,51,0.123,0.3902,0.0413,0.4307,0.2523
"1",1,43,0.182,0.1249,0.0307,0.738,0.4313
"1",1,46,0.447,0.5182,0.0652,0.1928,0.3587
"0",2,47,1.005,0.7025,0.0787,0.2314,0.1135
"1",3,47,0.473,0.4447,0.0599,5.1109,0.2493
"1",3,55,0.313,0.6652,0.0407,0.2922,0.2068
"1",3,28,1.241,0.3146,0.0529,0.09821,0.4079
"0",6,33,1.13,0.08314,0.068,0.3698,0.1451
"0",2,41,0.811,0.054,0.0648,0.8216,0.2257
"1",3,49,0.253,0.1786,0.0347,0.8628,0.2725
"0",2,40,0.915,0.1287,0.0717,0.1643,0.2336
"0",1,29,0.29,0.1155,0.104,0.3018,0.1288
"0",1,49,3.117,0.569,0.0773,0.1592,0.08083
"0",1,39,0.686,0.1511,0.079,0.3768,0.1498
"0",4,53,0.495,1.2155,0.065,0.3479,0.1092
"1",2,36,0.901,0.216,0.0675,0.4631,0.2355
"1",1,47,0.0884,0.6449,0.0202,0.5306,0.3838
"1",3,60,0.0695,0.6038,0.0202,1.0215,0.2006
"1",3,40,0.955,0.115,0.0709,0.7695,0.2016
"1",1,34,0.481,1.8494,0.0446,0.15,0.2446
"1",1,35,0.467,0.1313,0.0562,0.4424,0.296
"0",3,43,0.251,0.3581,0.103,0.3406,0.2142
"0",1,42,0.0695,0.1438,0.065,0.33,0.1746
"0",2,48,1.704,0.2356,0.0844,0.7916,0.4266
"0",3,30,0.86,0.6499,0.0474,0.5112,0.1725
"1",3,45,0.394,0.6238,0.0321,0.433,0.3209
"0",3,41,0.353,0.4181,0.114,0.1733,0.2279
"0",3,44,0.704,0.08355,0.0452,0.5771,0.272
"1",3,45,0.276,0.114,0.0586,0.1191,0.3688
"1",2,30,0.519,0.04217,0.0393,0.2786,0.433
"1",3,29,0.852,0.05797,0.0545,0.2749,0.3021
"0",4,37,1.02,0.75,0.0783,0.3151,0.3584
"1",2,28,0.538,0.4422,0.0572,0.4375,0.3498
"0",1,34,0.879,0.4892,0.0265,0.09821,0.2435
"1",5,45,0.101,0.5054,0.0841,0.9076,0.3584
"0",4,35,1.06,0.2456,0.088,0.3738,-0.0787
"0",2,46,0.311,0.1465,0.109,0.4481,0.2829
"1",3,49,0.62,0.2891,0.0521,0.315,0.4029
"0",2,43,0.686,0.8797,0.0405,1.1559,0.2909
"1",1,49,0.585,0.3317,0.063,0.4207,0.1882
"1",2,48,0.446,0.07078,0.0772,0.3771,0.3827
"0",2,56,0.472,0.2228,0.088,0.8964,0.05513
"0",1,36,1.089,0.8797,0.0745,0.2535,0.2541
"0",3,62,1.029,0.09568,0.107,0.4969,0.08475
"0",1,36,0.939,0.3921,0.0955,0.3578,0.3664
"0",2,29,0.996,0.0672,0.122,0.5027,-0.0496
"0",1,59,0.308,0.9933,0.0823,0.4497,0.137
"0",5,30,0.789,0.5473,0.0706,1.1044,0.09876
"1",1,35,1.241,0.7936,0.0701,0.2305,0.3686
"1",1,51,0.0695,0.7836,0.0202,1.0632,0.3584
"0",4,43,0.414,0.5082,0.114,0.337,0.1551
"0",3,48,0.91,0.125,0.114,0.1926,0.05513
"1",1,28,0.653,0.1366,0.0497,0.8885,0.235
"0",5,28,0.668,0.04883,0.0582,0.9867,0.2987
"0",1,30,0.636,0.08006,0.0541,0.3622,0.365
"1",1,46,0.572,0.4618,0.0774,0.421,0.2426
"1",1,48,0.607,0.04217,0.0825,0.3727,0.3567
"0",2,57,1.357,0.2754,0.0511,0.4501,0.1901
"0",2,55,0.739,0.1501,0.0684,0.1008,0.2478
"0",3,38,0.639,0.4826,0.0995,0.4526,0.2712
"1",3,47,0.328,0.05978,0.0652,3.9397,0.338
"1",2,24,1.432,0.1076,0.0571,0.2851,0.00192
"0",2,46,1.379,0.5621,0.0503,0.1998,0.1229
"1",3,38,0.637,0.2389,0.0521,0.6892,0.3325
"1",3,31,0.159,0.2947,0.0665,0.2567,0.3363
"1",5,58,0.101,0.1244,0.0313,0.5989,0.3973
"1",2,30,1.347,1.8494,0.0293,0.3122,0.3892
"0",3,53,0.739,0.04883,0.106,0.2194,0.1765
"0",3,42,1.117,0.4761,0.092,1.0777,0.1498
"0",3,44,0.0695,0.6055,0.0202,0.8235,0.3081
"1",2,41,0.815,0.09554,0.0406,0.4141,0.2711
"0",3,30,1.15,0.2174,0.0722,1.5371,0.2049
"1",3,40,0.485,0.1983,0.0649,0.2736,0.3787
"0",2,56,1.15,0.6179,0.0637,0.5775,0.1616
"1",2,49,0.351,0.09589,0.0229,0.3999,0.269
"0",1,48,0.714,0.2408,0.0674,0.6446,0.243
"1",1,54,0.96,0.2771,0.0566,0.623,0.1902
"1",1,42,0.257,0.6026,0.0393,1.5371,0.318
"1",1,52,0.0757,0.09435,0.0568,0.6414,0.3227
"0",2,56,0.615,0.1013,0.0777,0.1158,0.1437
"1",2,45,0.126,0.1111,0.0625,0.4014,0.4313
"1",3,35,0.333,0.2254,0.0656,0.5078,0.2902
"0",1,46,0.355,0.04883,0.072,0.1982,0.2326
"0",1,30,1.241,0.05572,0.0311,1.5154,0.05513
"0",2,50,0.141,0.1541,0.0514,0.2244,0.4773
"1",1,47,0.593,0.197,0.045,0.1418,0.3352
"0",1,30,0.455,0.1262,0.0673,0.5753,0.1601
"0",2,35,2.296,0.3895,0.0325,0.1995,-0.00285
"0",5,46,0.998,0.06468,0.0786,0.4884,0.2346
"0",3,42,0.204,0.4284,0.0828,2.3107,0.2619
"1",3,39,0.856,0.2041,0.0516,0.09821,0.3524
"0",1,47,0.528,0.4816,0.0627,0.7496,0.1903
"0",2,59,0.256,0.6406,0.114,0.09821,0.1101
"1",2,36,0.57,1.8494,0.0319,0.6087,0.2728
"0",3,53,0.299,0.6721,0.063,0.3233,0.1299
"1",1,49,0.632,0.2477,0.0415,0.425,0.4025
"1",2,35,0.385,0.1781,0.0264,0.8618,0.4272
"0",3,29,1.102,0.5426,0.101,0.8073,0.1268
"1",5,38,0.403,0.1639,0.124,0.4935,0.2696
"1",3,43,0.308,0.06879,0.041,0.5969,0.4313
"0",3,56,0.509,0.08817,0.098,0.549,0.2807
"0",3,53,0.41,0.2989,0.0936,10.84,0.1993
"0",3,34,1.005,0.2999,0.0528,0.2,0.2041
"1",1,39,0.563,0.3709,0.0668,0.1676,0.308
"1",3,43,0.464,0.141,0.0586,0.5754,0.4313
"0",3,37,0.682,0.04217,0.0427,3.9397,0.1964
"1",3,45,0.149,0.5222,0.0461,0.5289,0.1811
"1",3,55,0.12,0.6755,0.0721,1.0192,0.2773
"1",3,60,0.0695,0.6515,0.0202,0.6399,0.2981
"0",3,58,0.426,0.6784,0.0846,0.1908,0.2308
"1",5,38,0.859,0.08007,0.0449,0.6094,0.3978
"0",2,44,0.504,0.3611,0.08,0.2155,0.2313
"0",2,48,1.875,0.2855,0.0697,0.5093,-0.023
"1",1,30,0.761,0.8797,0.0879,0.261,0.3886
"0",2,59,0.88,1.3266,0.194,0.4032,0.05071
"1",1,45,0.127,0.9244,0.0536,1.7475,0.3907
"1",1,46,0.481,0.1025,0.0525,1.9037,0.2064
"0",3,37,0.454,0.1379,0.0681,0.4405,0.1546
"0",3,37,0.443,0.1637,0.0874,1.1091,0.1877
"0",3,50,0.549,0.4548,0.0968,1.315,0.1327
"1",3,44,0.367,0.4765,0.0979,0.4551,0.2158
"0",6,50,2.557,0.5015,0.0488,1.2481,-0.0979
"0",3,29,1.348,0.5261,0.0623,0.3455,0.09787
"0",3,43,0.195,0.339,0.124,0.2273,0.13
"0",6,33,1.397,0.4951,0.0402,0.6293,0.1156
"1",1,46,0.58,0.5186,0.062,0.2897,0.3364
"1",3,31,0.31,0.09946,0.0489,0.4426,0.2985
"1",3,42,0.989,0.8797,0.033,0.6507,0.2902
"1",2,35,0.574,0.7002,0.0792,0.6062,0.3595
"1",1,34,1.173,0.2003,0.0405,0.265,0.2921
"0",2,47,0.876,0.2933,0.0844,0.6503,0.2072
"1",1,45,0.641,0.5844,0.043,0.09821,0.4313
"1",3,45,0.416,0.4355,0.0402,0.5596,0.2976
"0",1,38,0.364,0.07589,0.0869,1.3482,0.1166
"1",5,53,0.357,0.103,0.03,0.1623,0.3293
"1",1,49,0.537,0.101,0.0529,0.553,0.2412
"0",3,44,0.317,0.4908,0.0471,0.5662,0.3063
"0",4,30,0.807,0.5346,0.0579,0.8,0.05513
"0",3,53,0.276,0.1343,0.0778,0.835,0.1562
"1",1,48,0.541,0.02429,0.0763,0.5122,0.3393
"1",2,60,0.907,0.2009,0.0839,1.3333,0.2166
"0",3,42,0.184,0.2161,0.0548,0.1706,0.2426
"0",1,39,0.646,0.05131,0.0807,0.1193,0.2862
"1",1,58,0.691,0.4646,0.08,3.9397,0.3083
"0",3,38,0.426,0.2859,0.0832,0.2053,0.2719
"0",3,62,0.154,0.2099,0.0751,0.5733,0.3237
"1",3,45,0.201,0.1445,0.0509,0.6683,0.4505
"1",2,59,0.44,0.4301,0.0558,0.6929,0.2375
"0",3,41,0.398,0.8797,0.0604,0.9781,0.3069
"1",3,40,0.794,0.1081,0.0805,0.5783,0.4313
"1",2,57,0.0812,0.322,0.0409,1.0648,0.3342
"1",1,45,0.561,0.2989,0.0572,0.5526,0.2888
"0",1,59,0.831,1.8494,0.112,0.4289,0.25
"0",3,48,1.812,0.2371,0.101,0.2459,-0.0979
"1",1,35,0.195,0.1529,0.101,0.1525,0.4313
"0",2,47,0.511,0.3792,0.0928,0.7253,0.3776
"1",1,54,0.842,0.1405,0.0539,0.5644,0.1578
"1",2,57,0.0513,0.4106,0.0596,0.5053,0.4625
"0",3,37,0.907,0.3406,0.0647,1.5371,0.2548
"0",2,54,0.516,0.09926,0.0565,0.7362,0.2338
"1",2,38,1.257,0.1702,0.0233,0.3668,0.3085
"0",3,31,0.989,0.5661,0.0843,0.4952,0.1661
"1",3,31,0.971,0.1658,0.0925,0.1193,0.245
"0",2,31,1.102,0.4617,0.0472,0.2805,0.2979
"0",3,37,1.163,0.04883,0.112,2.8563,0.07445
"0",1,34,1.12,0.5288,0.0318,0.1193,0.2508
"1",1,27,0.459,0.1334,0.0373,0.517,0.2554
"0",2,58,0.29,0.1857,0.11,0.5261,0.1759
"0",3,38,0.309,0.1394,0.0661,0.6504,0.1984
"1",2,41,0.778,0.1168,0.045,0.542,0.324
"0",3,42,1.522,0.2593,0.124,0.9393,0.07277
"1",5,41,0.503,0.2443,0.0458,0.2804,0.3813
"1",1,50,0.884,0.5055,0.0748,0.1405,0.2505
"0",1,39,0.885,0.4756,0.0295,0.6823,0.1394
"0",2,56,0.886,0.8797,0.117,0.6582,-0.142
"0",2,43,0.614,0.2464,0.0541,0.3437,0.3235
"0",1,48,0.592,0.2124,0.06,1.0795,0.3831
"0",2,41,0.665,0.1174,0.0403,1.5349,0.26
"0",6,32,2.557,0.09848,0.0444,0.178,0.1407
"1",2,55,0.172,0.8797,0.0572,13.673,0.2227
"0",4,34,1.241,0.5346,0.0448,0.5551,0.404
"1",1,43,0.223,0.04217,0.0256,0.3058,0.4313
"1",2,49,0.085,0.1787,0.0409,0.2734,0.3448
"1",1,45,0.523,0.3893,0.0243,0.2744,0.4257
"1",3,40,0.378,0.1869,0.0513,0.2044,0.3003
"1",2,30,0.543,1.138,0.0418,0.4653,0.4139
"0",6,45,0.816,0.3709,0.111,0.3,0.2229
"1",3,43,0.373,0.1265,0.0857,0.4181,0.3713
"0",5,28,0.19,0.1093,0.053,0.5433,0.1446
"1",1,31,0.243,0.5342,0.0354,0.366,0.3796
"0",3,34,1.072,0.5359,0.0792,0.5213,0.1498
"0",3,52,0.284,0.2239,0.0692,0.3002,0.06608
"0",3,44,0.467,0.04941,0.11,0.228,0.2511
"1",3,38,0.806,0.452,0.0428,0.2039,0.3725
"1",3,44,0.631,0.1729,0.0664,0.4181,0.3098
"0",3,37,0.614,0.7383,0.0815,0.2909,0.2058
"0",2,35,2.309,0.4958,0.0471,0.2069,0.3274
"1",2,47,0.332,0.2899,0.0568,0.4277,0.2301
"1",1,59,0.101,0.1948,0.124,0.4593,0.2327
"1",2,50,0.402,0.2029,0.0287,0.4427,0.2747
"1",2,55,0.0936,0.556,0.0362,0.8095,0.4121
"1",1,35,1.241,0.2116,0.0938,0.6719,0.3277
"0",1,43,0.659,0.146,0.114,0.2043,0.2041
"1",3,37,0.222,0.135,0.0394,0.4935,0.3582
"0",3,36,0.964,0.1143,0.0737,0.5641,0.1161
"1",1,46,0.459,0.3745,0.0847,0.7471,0.4071
"0",1,51,0.317,0.04883,0.0718,0.519,0.2231
"0",1,49,2.8,0.05444,0.0634,0.3292,-0.0758
"1",2,48,0.404,0.4397,0.064,0.6912,0.3731
"1",1,46,0.584,0.4835,0.0572,0.114,0.2016
"0",3,38,0.419,0.8838,0.0865,0.3657,0.1659
"1",3,36,0.11,0.09116,0.0421,0.3279,0.3337
"1",1,52,0.586,0.155,0.0762,0.199,0.2733
"0",1,52,0.547,0.1138,0.104,1.0389,0.2437
"0",3,42,1.556,0.05216,0.091,0.1591,-0.0227
"1",1,58,0.0994,0.07746,0.0266,0.4067,0.434
"1",1,37,0.384,0.5517,0.0382,1.0551,0.4084
"1",1,58,0.723,0.1879,0.0557,1.0319,0.3504
"0",3,30,1.241,0.3697,0.0438,0.3841,0.05513
"1",3,55,0.514,0.1036,0.0526,1.5371,0.2043
"1",3,48,0.584,0.5599,0.0395,2.3285,0.4164
"0",1,33,0.423,0.4565,0.0778,0.7974,0.222
"1",5,38,0.841,0.134,0.0414,0.5594,0.3077
"0",1,40,1.524,0.8586,0.0479,0.7093,0.4213
"0",5,41,0.602,0.785,0.0652,0.4428,0.162
"1",3,49,0.253,0.05697,0.0393,0.2886,0.3559
"0",3,40,0.875,0.4386,0.114,0.8921,0.1583
"0",3,50,0.395,0.8116,0.121,0.3719,0.1355
"1",1,27,0.791,0.1393,0.0529,1.5371,0.2976
"0",3,44,0.572,0.2576,0.066,0.9347,0.2892
"1",1,49,0.471,0.55,0.0566,0.3149,0.348
"0",1,56,0.739,0.5745,0.0355,0.553,0.1929
"1",3,54,0.631,0.05324,0.0708,4.9711,0.1888
"1",1,39,0.789,0.8351,0.061,0.592,0.2928
"0",5,32,1.026,0.1004,0.047,3.9397,0.1413
"0",2,49,0.366,0.04217,0.0528,0.2569,-0.001
